datetime,T_outdoor,T_wb,solar,T_room,cooling_load_kW,chiller_power_kW,chw_pump_power_kW,cw_pump_power_kW,ct_fan_power_kW,terminal_fan_power_kW,total_power_kW,chiller_PLR,chiller_COP,T_chw_supply,T_cw_supply,pipe_heat_gain_kW
2024-07-06 01:17:00,7.2319139584909955,2.6454951230956363,0.0,7.315933976254026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:18:00,6.802303960360002,2.7023588026135674,0.0,7.137868722343886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:19:00,9.405890101012584,3.7625887378682603,0.0,7.924146373900751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:20:00,4.591203824036086,-0.232951973129278,0.0,6.768681850713668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:21:00,6.098122872834577,1.2100899883559342,0.0,6.536212464262545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:22:00,7.393522927050903,3.3247035494069257,0.0,6.833424855502012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:23:00,7.012452894924981,2.0601250943639804,0.0,6.895490296209167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:24:00,5.83546707316428,0.8395545389192346,0.0,6.528001445243966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:25:00,6.457242855573347,1.5944312832974914,0.0,6.503470857376956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:26:00,5.879060212462885,1.2937525409873138,0.0,6.287000174998146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:27:00,7.301421670816827,3.5593307959281404,0.0,6.6386798191685665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:28:00,5.539623243640732,0.5836188131916112,0.0,6.257658885564577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:29:00,7.479716361922662,2.37158886209947,0.0,6.681321771468398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:30:00,7.923808173348788,3.4801728802167475,0.0,7.112066957272292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:31:00,7.279593037001894,3.063521646717848,0.0,7.170144898592951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:32:00,6.578661697057806,2.2017942995558335,0.0,6.965089502284747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:33:00,7.6949683172553645,1.9344257332374284,0.0,7.21812388985876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:34:00,7.902018492211603,3.3043274404054648,0.0,7.455216470602444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:35:00,5.608699006347708,-0.5763907717764885,0.0,6.815065796094612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:36:00,6.318889338814486,0.8242999752146566,0.0,6.643051341884738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:37:00,7.203320296720957,2.0365456714340766,0.0,6.837285383147359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:38:00,8.182660901050832,3.2815835316474073,0.0,7.303700167694135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:39:00,7.58407902484282,1.8165045549935936,0.0,7.400901909890441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:40:00,5.712682095961516,0.3985332219102894,0.0,6.815629864797562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:41:00,6.797888969199216,2.967622810895052,0.0,6.809479451111527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:42:00,6.243327696037014,1.7607710037775026,0.0,6.613205960662295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:43:00,6.407682017026361,1.1956269533937727,0.0,6.541954919882589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:44:00,6.511063670512345,1.8780352807459382,0.0,6.531245541550913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:45:00,4.970969391005746,0.6521377476867272,0.0,5.990329005679914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:46:00,5.641055755341458,0.8758849834528947,0.0,5.869242955252578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:47:00,7.286860825021788,3.0504141251681003,0.0,6.360702718344168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:48:00,7.516525982076893,2.676483954764861,0.0,6.7614035274150295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
